throw up;phr v;/θrəʊ ʌp/;I felt very ill and I had to run to the bathroom and  throw up .;vomitar
toothache;n;/ˈtuːθeɪk/;If you have a  toothach e you should go to see the dentist.;dolor de muelas
unconscious;adj;/ʌnˈkɒnʃəs/;She's  unconscious  so we need medical help immediately.;inconsciente
vomit;v;/ˈvɒmɪt/;Some people  vomit  when they travel by boat in rough seas.;vomitar
casual;adj;/ˈkæʒuəl/;You can wear anything you like, we have a  casual  dress code.;informal
checked;adj;/tʃekt/;I wore a  checked  shirt to the party.;de cuadros
classic;adj;/ˈklæsɪk/;The coat, suit and smart shoes are a  classic  combination.;clásico
cotton vest;;/ˈkɒtn vest/;I always wear a  cotton vest  under my clothes in winter.;camiseta de algodón
denim waistcoat;;/ˈdenɪm ˈweɪskəʊt/;He wore jeans, a shirt and a  demin waistcoat .;chaleco vaquero
dress up;phr v;/dres ʌp/;I’m going to  dress up  tonight and wear a smart suit.;arreglarse
fit;v;/fɪt/;These jeans don’t  fit  me. I need a different size.;quedar bien (algo)
fur collar;;/fɜː ˈkɒlə/;I love that coat with the  fur collar .;estola de piel
get changed;phr v;/ɡet tʃeɪndʒd/;I need to  get changed  before we can go to the beach.;cambiarse
get dressed;phr v;/ɡet drest/;Get up and  get dressed .;vestirse
get undressed;phr v;/ɡet ʌnˈdrest/;Hurry up and  get undressed !;quitar(se) la ropa
go with;phr v;/ɡəʊ wɪð/;I don’t think that skirt will  go with  this top.;pegar (con)
hang up;phr v;/ˈhæŋ ʌp/;Please  hang up  your coat.;colgar
hooded;adj;/ˈhʊdɪd/;I have a warm black  hooded  top which I like to wear.;con capucha
lace top;;/leɪs tɒp/;I wore a black  lace top  on our first date.;top de encaje
leather sandals;;/ˈleðə ˈsændlz/;He wore  leather sandals  every day on his holiday.;sandalias de cuero
linen suit;;/ˈlɪnɪn suːt/;He wore a beige  linen suit  at the wedding.;traje de lino
long-sleeved;adj;/lɒŋ sliːvd/;I wore a blue  long-sleeved  shirt.;de manga larga
loose;adj;/luːs/;He was wearing a  loose  linen suit.;holgado
lycra swimsuit;;/ˈlaɪkrə ˈswɪmsuːt/;I bought myself a new  lycra swimsuit .;bañador de lycra
match;v;/mætʃ/;Does this bag  match  my shoes?;ir a juego
old-fashioned;adj;/əʊld ˈfæʃənd/;She was wearing an  old-fashioned  dress in the style of the 1920s.;anticuado
patterned;adj;/ˈpætənd/;She wore a  patterned  skirt with flowers on.;estampado
plain;adj;/pleɪn/;I wore a  plain  blue top.;liso
scruffy;adj;/ˈskrʌfi/;My younger brother always looks really  scruffy  and dirty.;desaliñado
silk scarf;;/sɪlk skɑːf/;That’s a beautiful  silk scarf .;pañuelo de seda
sleeveless;adj;/ˈsliːvləs/;I wore a  sleeveless  dress to the wedding.;sin mangas
smart;adj;/smɑːt/;You need to look  smart  when we go out for dinner tonight.;elegante
spotted;adj;/ˈspɒtɪd/;She wore a pink and white  spotted  dress to the party.;de lunares
striped;adj;/straɪpt/;I wore a blue and white  striped  T-shirt on the beach.;de rayas
suede boots;;/sweɪd buːts/;I bought myself some lovely brown  suede boots .;botas de ante
suit;v;/suːt/;Those glasses really  suit  you.;quedar bien (algo)
tight;adj;/taɪt/;This T-shirt is very  tight  now. I bought it when I was much younger.;apretado
velvet bow tie;;/ˈvelvɪt bəʊ taɪ/;He wore a suit and a  velvet bow tie .;pajarita de terciopelo
V-neck;adj;/ˈviː nek/;He always wears a  V-neck  jumper over his shirts.;cuello de pico
wool(len) cardigan;;/ˈwʊl ˈkɑːdɪɡən/;My grandmother knitted me a blue  wool cardigan .;rebeca de lana
airport terminal;n;/ˈeəpɔːt ˈtɜːmɪnl/;The taxi dropped us off at the  airport terminal .;terminal de aeropuerto
aisle;n;/aɪl/;Don't leave your bag in the  aisle ! People need to walk up and down.;pasillo
bag(gage) drop;n;/ˈbæɡɪdʒ drɒp/;Please take that bag to  baggage drop .;mostrador de equipajes
baggage reclaim;n;/ˈbæɡɪdʒ rɪˈkleɪm/;You need to go to  baggage reclaim  to collect your bags.;recogida de equipajes
board;v;/bɔːd/;Can we  board  our flight now?;embarcar
boarding pass;n;/ˈbɔːdɪŋ pɑːs/;You have to show your  boarding pass  at the gate.;tarjeta de embarque
business;adj;/ˈbɪznəs/;Are you in economy? ~ No, I'm in  business  class today.;business
cabin crew;n pl;/ˈkæbɪn kruː/;I asked one of the  cabin crew  to help me with my bags.;personal de cabina
check;v;/tʃek/;They will  check  your hand baggage when you go through security.;inspeccionar
check in;phr v;/tʃek in/;You need to  check in  when you arrive at the airport.;facturar
check-in desk;n;/tʃek ɪn desk/;Please go immediately to the  check-in desk .;mostrador de facturación
closed;adj;/kləʊzd/;I'm sorry, the check-in for your flight is now  closed.;cerrado
collect;v;/kəˈlekt/;Please  collect  your luggage on arrival.;recoger
connecting flight;n;/kəˈnektɪŋ flaɪt/;When I get to Frankfurt I need to get a  connecting flight  to Berlin;vuelo de enlace
customs;n;/ˈkʌstəmz/;Show your passport at  customs.;aduana
delayed;adj;/dɪˈleɪd/;Oh no! Our flight is  delayed  by three hours.;retrasado
departures board;n;/dɪˈpɑːtʃəz bɔːd/;We looked at the  departures board  to find out about our flight.;panel de salidas
direct flight;n pl;/ˌdəˈrekt flaɪt/;Is there a  direct flight  from London to Bangkok?;vuelo directo
drop off;phr v;/drɒp ɒf/;Can your mum  drop  us  off  at the airport tomorrow morning?;llevar (a alguien)
first class;n;/fɜːst klɑːs/;There is more space for each passenger in  first class .;primera clase
flight time;n;/flaɪt taɪm/;Have you looked at the board to check your  flight time ?;hora del vuelo
fill in;phr v;/fɪl in/;Please  fill in  this immigration form before landing.;rellenar
gate;n;/ɡeɪt/;How long will it take to walk to our  gate ?;puerta
get off;phr v;/ɡet ɒf/;I’m always happy to  get off  the plane at the end of a flight.;bajar(se) (de algo)
get on;phr v;/ɡet ɒn/;When I  get on  a plane I always look for the emergency exits.;subir(se) (a algo)
hand luggage;n;/ˈhænd lʌɡɪdʒ/;There isn't much space on the plane for everyone's  hand luggage .;equipaje de mano
illegal goods;n;/ɪˈliːɡl ɡʊdz/;At customs, they check if anyone is bringing  illegal goods  into the country.;productos ilegales
jet lag;n;/ˈdʒet læɡ/;My  jet lag  after the flight was worse than usual.;desfase horario
journey;n;/ˈdʒɜːni/;Did you have a good  journey ? ~ Yes, there were no problems, thanks.;viaje
land;v;/lænd/;Their flight will  land  in 20 minutes.;aterrizar
liquid;n;/ˈlɪkwɪd/;If you want to take any  liquid  through security it must be less than 100 ml.;líquido
long-haul flight;n;/ˌlɒŋ hɔːl ˈflaɪt/;Have you ever been on a  long-haul flight ?;vuelo de larga distancia
(airline) lounge;n;/ˈeəlaɪn laʊndʒ/;Let's go and sit in the  lounge  for a while. We have an hour to wait.;sala (de compañía aérea)
luggage;n;/ˈlʌɡɪdʒ/;How much  luggage  have you brought for a two-week holiday?;equipaje
on time;adj;/ɒn taɪm/;Is our flight  on time ? Let's check the departures board.;puntual
pick up;phr v;/pɪk ʌp/;Where can we  pick up  our luggage?;recoger (algo)
pick up;phr v;/pɪk ʌp/;Can you  pick  me  up  at the airport when my flight lands?;recoger (a alguien)
row;n;/rəʊ/;Here we are,  row  15. You're sitting in 15A.;fila
runway;n;/ˈrʌnweɪ/;The plane taxied along the  runway .;pista
scan;v;/skæn/;They will  scan  your luggage at security;pasar por el escáner
seat belt;n;/ˈsiːt belt/;Put on your  seat belt , please.;cinturón de seguridad
security;n;/sɪˈkjʊərəti/;They opened my bag at  security.;seguridad
sharp object;n;/ʃɑːp ˈɒbdʒekt/;You can't have any  sharp object s like scissors in your hand luggage.;objeto punzante
take off;phr v;/teɪk ɒf/;The plane is going to  take off  in five minutes.;despegar
travel;v;/ˈtrævl/;I love to  travel . It's one of my favourite activities.;viajar
trip;n;/trɪp/;Are you going away next week? ~ Yes, just for a short  trip .;viaje
trolley;n;/ˈtrɒli/;We have lots of bags. Let's get a  trolley  to carry them.;carrito
turbulence;n;/ˈtɜːbjələns/;Is  turbulence  really dangerous?;turbulencia
actually;adv;/ˈæktʃuəli/;I thought it was simple, but  actually  it was quite difficult.;en realidad
apparently;adv;/əˈpærəntli/;Apparently , this house is worth £500,000!;al parecer
at the end;;/æt ðə end/;At the end  of the concert we all clapped.;al final
at the moment;phr;/æt ðə ˈməʊmənt/;Are you busy  at the moment ? I have a question.;en estos momentos
basically;adv;/ˈbeɪsɪkli/;Basically , we don’t have enough money to move.;sencillamente
certainly;adv;/ˈsɜːtnli/;I  certainly  wasn't expecting the film to end in that way. I was really surprised.;desde luego
especially;adv;/ɪˈspeʃəli/;I love ice cream,  especially  mint flavoured ice-cream.;especialmente
even;adv;/ˈiːvn/;I lose everything! I  even  lost my boarding pass when I was at the airport.;incluso
eventually;adv;/ɪˈventʃuəli/;It took a long time, but  eventually  we had enough money to buy a house.;al final
ever;adv;/ˈevə/;Have you  ever  been on a long-haul flight?;alguna vez
gradually;adv;/ˈɡrædʒuəli/;I kept studying and  gradually  I started to understand things.;poco a poco
hard;adv;/hɑːd/;You should work  hard , but ask for help if you need it.;duro
hardly;adv;/ˈhɑːdli/;It’s so foggy, I can  hardly  see anything.;apenas
ideally;adv;/aɪˈdiːəli/;Ideally , we’d like to live near the sea, but it’s not practical.;(lo) ideal
in fact;adv;/ɪn fækt/;I thought the café would be closed, but  in fact  it was open.;en realidad
in the end;phr;/ɪn ðə end/;I thought the job would be boring, but  in the end  I loved it.;al final
late;adv;/leɪt/;The plane arrived  late  because of bad weather.;tarde
lately;adv;/ˈleɪtli/;I haven’t heard from Mike  lately . Have you?;últimamente
near;adv;/nɪə/;Is there a bank  near  here?;cerca
nearly;adv;/ˈnɪəli/;I’ve  nearly  finished my coffee. When I've finished it, we'll go.;casi
obviously;adv;/ˈɒbviəsli/;It will be winter there, so  obviously  it will be cold.;obviamente
specially;adv;/ˈspeʃəli/;I wrote a  specially  commissioned report for the government.;expresamente
still;adv;/stɪl/;I'm  still  reading the book you lent me. It's long, but it's good.;todavía
yet;adv;/jet/;Are you ready  yet ? We need to leave in five minutes.;aún
below zero;;/bɪˈləʊ ˈzɪərəʊ/;The temperature is  below zero . It’s minus five.;bajo cero
blizzard;n;/ˈblɪzəd/;A  blizzard  is a snow storm with very strong winds.;ventisca
boiling;adj;/ˈbɔɪlɪŋ/;It’s too hot today. It’s  boiling .;hacer un calor sofocante
breeze;n;/briːz/;The  breeze  is really cooling me down.;brisa
bright;adj;/braɪt/;The  bright  sunshine lit up the mountain.;brillante
changeable;adj;/ˈtʃeɪndʒəbl/;The weather is often very  changeable  in the UK.;variable
chilly;adj;/ˈtʃɪli/;It’s a bit  chilly  in here. Shall I put the heating on?;fresco
clear;adj;/klɪə/;On a  clear  day you can see for miles.;despejado
cool;adj;/kuːl/;It’s a bit  cool  for this time of year. It’s normally hotter.;fresco
damp;adj;/dæmp/;My jacket is still  damp  from walking in the rain yesterday.;húmedo
drizzle;v;/ˈdrɪzl/;It started to  drizzle , but didn't rain heavily.;lloviznar
drought;n;/draʊt/;There has been a long  drought  and all the rivers have dried up.;sequía
flood;n;/flʌd/;It was so wet that the water covered the roads in a big  flood.;inundación
fog;n;/fɒɡ/;The  fog  is so thick that I can't see anything.;niebla
freezing;adj;/ˈfriːzɪŋ/;It’s  freezing ! I’ll have to scrape the ice from my car.;hacer mucho frío
hail;n;/heɪl/;Is that rain? ~ No, it's  hail . You can see the ice!;granizo
heatwave;n;/ˈhiːtweɪv/;The  heatwave  is causing problems for many people in the area. Drink plenty of water!;ola de calor
heavy;adj;/ˈhevi/;The rain was so  heavy  I had to stop driving.;intenso
humid;adj;/ˈhjuːmɪd/;We live close to to a river so the air is often  humid  in summer.;húmedo
hurricane;n;/ˈhʌrɪkən/;The house was destroyed by a  hurricane.;huracán
icy;adj;/ˈaɪsi/;I fell over on the  icy  path.;helado
lightning;n;/ˈlaɪtnɪŋ/;The  flash of  lightning  could be seen for miles.;relámpago
mild;adj;/maɪld/;It’s quite  mild  by September. The summer heat has gone.;templado
mist;n;/mɪst/;The  mist  from the sea was so thick I couldn’t see anything.;neblina
monsoon;n;/mɒnˈsuːn/;We get very heavy rains in the  monsoon  season.;monzón
pour (with rain);v;/ˈpɔːr/;You can't go out now. It's  pouring  with rain.;llover a mares
settled;adj;/ˈsetld/;After a period of changeable weather it became much more  settled .;estable
shower;n;/ˈʃaʊə/;Let’s wait a minute to see if it’s just a short  shower .;tormenta
smog;n;/smɒɡ/;The pollution causes a thick  smog  which covers the city.;contaminación
strong;adj;/strɒŋ/;The  strong  wind blew over many trees.;fuerte
sunny;adj;/ˈsʌni/;Was it  sunny  on holiday? ~ Yes, we had wonderful weather.;soleado
thick;adj;/θɪk/;The fog was so  thick  I couldn’t see anything.;denso
thunder;n;/ˈθʌndə/;Can you hear the  thunder ? There's a storm nearby.;trueno
warm;adj;/wɔːm/;How  warm  is it outside? Do I need a jumper?;calor
take advantage of;phr v;/teɪk ədˈvɑːntɪdʒ əv/;This is a great opportunity to travel.  Take advantage of  it!;aprovechar
take after;phr v;/teɪk ˈɑːftə(r)/;I  take after  my father. We like the same kind of jokes!;parecerse (a alguien)
take against;phr v;/teɪk əˈɡeɪnst/;They used to be friends, but now they've  taken against  each other.;estar enfadado
take care of;phr v;/teɪk keə əv/;If you get a pet, you'll have to  take care of  it.;encargarse de
take into account;phr v;/teɪk ˈɪntu əˈkaʊnt/;Do the final results  take into account  your coursework as well as exam results?;tener en cuenta
take no notice of;phr v;/teɪk nəʊ ˈnəʊtɪs əv/;Some people didn't like our school show. ~  Take no notice of  them. It was a great show!;no hacer caso de
take off;phr v;/teɪk ɒf/;When does your flight leave? We  take off  at 2 p.m. and land three hours later.;despegar
take (sth) off;phr v;/teɪk ɒf/;It's really hot in here. You should  take  your coat  off .;quitarse (algo)
take (sb) out;phr v;/teɪk aʊt/;Daniel is going to  take  Elena  out  for dinner tonight.;llevar (a alguien)
take (sth) out;phr v;/teɪk aʊt/;Can you  take  the recycling  out ? It's collection day tomorrow.;sacar (fuera)
take part in;phr v;/teɪk pɑːt ɪn/;More and more people are starting to  take part in  the sport.;participar en
take pity on;phr v;/teɪk ˈpɪti ɒn/;I  took pity on  the cat and brought it some food.;apiadarse de
take place;phr v;/teɪk pleɪs/;When does the firework show  take place ? ~ At 10 p.m. tonight.;tener lugar
take risks;phr v;/teɪk rɪsks/;I like to  take risks . I think it's exciting.;tomar riesgos
take (your) time;phr v;/teɪk jɔː taɪm/;Take your time ! We don't need to leave yet.;tomarse el tiempo necesario
take to;phr v;/teɪk tu/;The children have really  taken to  you. They love to see you.;encariñarse con
take up;phr v;/teɪk ʌp/;I've  taken up  kayaking recently. I enjoy it.;empezar a hacer algo
astonished;adj;/əˈstɒnɪʃt/;I was  astonished  when they lost. They always win.;asombrado
bewildered;adj;/bɪˈwɪldəd/;I was  bewildered  by the range of choices. I couldn't make a decision.;perplejo
delighted;adj;/dɪˈlaɪtɪd/;I was  delighted  with my high score.;encantado
desperate;adj;/ˈdespərət/;I was  desperate  to get a job. I really needed the money.;desesperado
devastated;adj;/ˈdevəsteɪtɪd/;I was  devastated  when my granddad died.;devastado
disappointed;adj;/dɪsəˈpɔɪntɪd/;I was  disappointed  you couldn't come to the party.;decepcionado
down;adj;/daʊn/;You look a bit  down . What's the problem?;decaído
fed up;adj;ˌfed ˈʌp/;I'm bored and tired and I've been trying to read this for ages. I'm  fed up  with it.;harto
gobsmacked;adj;/ˈɡɒbsmækt/;I was  gobsmacked  when I heard that Tereza and Adam were getting divorced!;atónito
grateful;adj;/ˈɡreɪtfl/;I’m  grateful  for any help I get.;agradecido
gutted;adj;/ˈɡʌtɪd/;I was absolutely  gutted  when they missed that last penalty.;quedarse hecho polvo
homesick;adj;/ˈhəʊmsɪk/;I really miss home. I’m feeling  homesick .;tener nostalgia
horrifed;adj;/ˈhɒrɪfaɪd/;My mum was  horrified  by the mess in my room.;horrorizado
lonely;adj;/ˈləʊnli/;I feel  lonely  without you here.;solo
miserable;adj;/ˈmɪzrəbl/;I feel  miserable  when my manager criticizes me and doesn't notice my hard work.;abatido
offended;adj;/əˈfendɪd/;I feel really  offended . My cousin didn’t invite me to his wedding.;ofendido
overwhelmed;adj;/əʊvəˈwelmd/;I just don’t know what to say. I’m  overwhelmed  with emotion.;abrumado
proud;adj;/praʊd/;I’m so  proud  my daughter won the race.;orgulloso
relieved;adj;/rɪˈliːvd/;I thought I'd lost my wallet, but then I found it. I'm so  relieved.;aliviado
scared stiff;;/ˌskeəd ˈstɪf/;I hate heights. I was  scared stiff  when we went in the cable car.;muerto de miedo
shattered;adj;/ˈʃætəd/;I’m absolutely  shattered . I just want to sit down and relax.;hecho añicos
sick of;adj;/ˈsɪk əv/;I’m  sick of  hearing you complain about my food. Why don’t you learn to cook?;harto de
stunned;adj;/stʌnd/;I was  stunned  by the job offer. I just wasn’t expecting it.;aturdido
thrilled;adj;/θrɪld/;I was  thrilled  when I heard I was going to become an uncle.;entusiasmado
upset;adj;/ʌpˈset/;I was really  upset  when my flight was cancelled. I had to have a shorter holiday.;disgustado
amaze;v;/əˈmeɪz/;It  amazes  me that they've become so famous – who would have thought it?;asombrar
confuse;v;/kənˈfjuːz/;It  confuses  me when people keep changing their schedules.;confundir
disappoint;v;/ˌdɪsəˈpɔɪnt/;Did it  disappoint  you when your team lost?;decepcionar
embarrass;v;/ɪmˈbærəs/;My children had a fight in front of everyone and it  embarrassed  me.;avergonzar
exhaust;v;/ɪɡˈzɔːst/;That was a long run. It's  exhausted  me.;agotado
frustrate;v;/frʌˈstreɪt/;It  frustrates  me when I have to ask people to repeat themselves several times.;frustrar
infuriate;v;/ɪnˈfjʊərieɪt/;I hate being stuck in traffic. It really  infuriates  me.;enfurecer
inspire;v;/ɪnˈspaɪə/;Does it  inspire  you to see such beautiful scenery?;inspirar
terrify;v;/ˈterɪfaɪ/;Honestly, quite a few things  terrify  me. I'm easily scared.;aterrorizar
thrill;v;/θrɪl/;It  thrills  me to think we'll be going on holiday this time tomorrow! I can't wait!;hacer (mucha) ilusión
be a light sleeper;;/biː ə laɪt ˈsliːpə/;I 'm a light sleeper.  I wake up very easily if I think I hear something.;tener un sueño ligero
be fast asleep;;/biː fɑːst əˈsliːp/;Don't wake the children! They 're fast asleep .;dormirse rápido
blanket;n;/ˈblæŋkɪt/;Do you want an extra  blanket  for your bed? It's cold at night.;manta
duvet;n;/ˈduːveɪ/;Do you like to have a  duvet  or a blanket on your bed?;edredón
fall asleep;phr v;/fɔːl əˈsliːp/;How quickly do you usually  fall asleep  at night?;dormirse
have nightmares;;/hæv ˈnaɪtmeəs/;My children used to  have nightmares . They used to wake up and shout for me.;tener pesadillas
insomnia;n;/ɪnˈsɒmniə/;My mother has  insomnia . She finds it very difficult to fall asleep.;insomnio
keep you awake;;/kiːp ju əˈweɪk/;Does my music  keep you awake ? I'll turn it off.;impedir dormir
nap;n;/næp/;I'm tired. I'm going to have a  nap  for an hour.;siesta
oversleep;v;/ˌəʊvəˈsliːp/;Be careful not to  oversleep ! Set an extra alarm.;quedarse dormido
pillow;n;/ˈpɪləʊ/;When you get into bed, you put your head on the  pillow .;almohada
set the alarm;;/set ðə əˈlɑːm/;Don't forget to  set the alarm  for 6.30 a.m. tomorrow.;poner la alarma
sheet;n;/ʃiːt/;It's too hot to have a blanket on my bed. I'll just have a  sheet .;sábana
sleeping pill;n;/ˈsliːpɪŋ pɪl/;My doctor suggested I take  sleeping pills  to help me get to sleep.;pastilla para dormir
sleep like a log;;/sliːp laɪk ə lɒɡ/;I'm so tired! I'm going to  sleep like a log  tonight.;dormir como un tronco
sleepwalk;v;/sliːp wɔːk/;My son  sleepwalks  at night. Once, he walked downstairs and almost out of the house.;ser sonámbulo
sleepy;adj;/ˈsliːpi/;It's been a long day and I'm  sleepy . I'm going to bed.;tener sueño
snore;v;/snɔː/;I have to sleep in a different room because I  snore  loudly.;roncar
yawn;v;/jɔːn/;Don't sit there and  yawn . If you're tired, go to bed.;bostezar
architecture;n;/ˈɑːkɪtektʃə/;I like to look at the  architecture  of cities – all the different styles of buildings.;arquitectura
ballet;n;/ˈbæleɪ/;Let's go and see a  ballet . I love Swan Lake.;ballet
barista;n;/bəˈrɪstə/;Which coffee would you like? Tell the  barista .;barista
bass guitar;n;/beɪs ɡɪˈtɑː/;He wants to learn to play the  bass guitar .;bajo
bouquet;n;/buˈkeɪ/;I gave her a  bouquet  of flowers for Valentine’s Day.;ramo
cappuccino;n;/ˌkæpuˈtʃiːnəʊ/;I prefer  cappuccino  to other types of coffee.;capuchino
cello;n;/ˈtʃeləʊ/;I play the  cello . It's quite big and difficult to carry around.;violonchelo
chauffeur;n;/ˈʃəʊfə/;The company sent a  chauffeur  to pick them up.;chófer
chef;n;/ʃef/;This restaurant is famous for its food. The  chef  is amazing.;chef
chic;adj;/ʃiːk/;Those clothes look wonderful - you're so  chic .;elegante
choir;n;/ˈkwaɪə/;There were 30 people in the  choir  and they all sang very well.;coro
chorus;n;/ˈkɔːrəs/;The  chorus  is the most famous part of the song.;estribillo
concerto;n;/kənˈtʃɜːtəʊ/;Mozart wrote a  concerto  when he was very young.;concierto
conductor;n;/kənˈdʌktə/;The  conductor  told the orchestra when to start playing.;director
croissant;n;/ˈkrwæsɒ/;My favourite breakfast is  croissants  and a cup of coffee.;croissant
drum;n;/drʌm/;I like to play the  drums . I have a good sense of rhythm.;tambor
encore;n;/ˈɒŋkɔː/;The crowd wanted more so they started shouting for an  encore .;bis
fiancé;n;/fɪˈɒnseɪ/;My  fiancé  is a teacher. He really enjoys his work.;prometido
flute;n;/fluːt/;I love the sound of  flutes . They're my favourite woodwind instrument.;flauta
genre;n;/ˈʒɒnrə/;What  genre  of fiction do you like?;género
graffiti;n;/ɡrəˈfiːti/;Some  graffiti  is great art.;grafiti
hypochondriac;n;/hʌɪpəˈkɒndrɪak/;You're not ill! You're such a  hypochondriac.;hipocondríaco
keyboard;n;/ˈkiːbɔːd/;She took the  keyboard  out of her car, set it up and started playing.;teclado
macchiato;n;/ˌmækɪˈɑːtəʊ/;I like to drink  macchiato  because it’s a bit lighter.;macchiato
mezzo-soprano;n;/metsəʊ səˈprɑːnəʊ/;She is a  mezzo-soprano  in the choir.;mezzo-soprano
microphone;n;/ˈmaɪkrəfəʊn/;Can I have a  microphone ? I want to make sure everyone can hear me.;micrófono
orchestra;n;/ˈɔːkɪstrə/;It's amazing to hear the  orchestra . They're one of the best in the world.;orquesta
paparazzi;n;/ˌpæpəˈrætsi/;The  paparazzi  chased the celebrities in order to take photos of them.;paparazzi
philosophy;n;/fəˈlɒsəfi/;I'm interested in  philiosophy  and how it influences cultures.;filosofía
psychic;n;/ˈsaɪkɪk/;A  psychic  predicted that I would move to Australia one day soon.;adivino
psychologist;n;/saɪˈkɒlədʒɪst/;My daughter is a trained  psychologist . She works with a lot of different patients.;psicólogo
rhythm;n;/ˈrɪðəm/;I really like the  rhythm  of this song.;ritmo
